urlid,label
5865,0.89791
782,0.36482
6962,0.47733
7640,0.03364
3589,0.4403
6719,0.61151
3905,0.29032
9841,0.99186
7447,0.21119
4776,0.33102
2879,0.65131
2620,0.50295
10479,0.07505
1105,0.26398
1849,0.36472
8286,0.88839
8344,0.94567
10486,0.99787
8661,0.98887
7188,0.28993
1433,0.99952
677,0.94903
469,0.8715
6988,0.08634
8024,0.10927
6896,0.45811
9154,0.30026
342,0.91587
50,0.1639
983,0.14965
6933,0.28357
8271,0.03191
5602,0.10268
4505,0.16671
4966,0.88867
2390,0.31772
6736,0.70396
4660,0.98228
7560,0.99279
3840,0.69109
5823,0.95935
5789,0.99696
1595,0.15199
6770,0.85914
3522,0.9265
5584,0.96077
8323,0.86958
3862,0.61616
373,0.3439
7345,0.15793
7708,0.95876
1398,0.97054
4298,0.1049
7467,0.15473
1878,0.94816
1832,0.42031
625,0.13841
7438,0.05529
9961,0.96783
7117,0.18677
8190,0.55717
1713,0.48625
949,0.06087
9246,0.07739
2326,0.03764
8942,0.13329
4458,0.65957
4659,0.5209
9522,0.09346
2497,0.98144
9836,0.43225
3808,0.99156
5575,0.99351
5714,0.34403
2490,0.94645
6812,0.28428
4335,0.17185
10014,0.99469
5889,0.97555
482,0.97409
8082,0.13084
5856,0.94859
8866,0.68934
2624,0.93791
1371,0.9717
4436,0.29362
2972,0.95584
3638,0.92811
6249,0.61373
7602,0.17651
9624,0.98686
7567,0.15144
6578,0.24815
7590,0.90519
8590,0.95378
10520,0.80908
1906,0.25038
1373,0.32787
1601,0.91743
4754,0.13327
8208,0.28312
1658,0.9898
1352,0.9774
8143,0.89385
7760,0.7727
7836,0.79821
9769,0.40018
503,0.89259
4909,0.17664
7162,0.37801
10035,0.7437
1992,0.64202
6133,0.42365
8519,0.2557
1879,0.67683
7107,0.41123
1225,0.6479
2451,0.8422
8252,0.10822
9214,0.47518
4850,0.93284
5891,0.1538
5274,0.30806
8623,0.00626
562,0.97798
860,0.14763
4199,0.98992
7616,0.33944
10544,0.72853
1567,0.97955
6552,0.0798
954,0.15729
111,0.23502
7036,0.69948
1995,0.97445
7095,0.31826
10180,0.51879
6872,0.96255
4805,0.98769
355,0.9805
8097,0.99912
9271,0.97932
431,0.48186
1646,0.9374
143,0.98667
3436,0.08146
150,0.64333
9745,0.42191
715,0.33387
578,0.48761
8684,0.98268
1186,0.7223
9115,0.28807
9239,0.04012
5461,0.99999
5424,0.70625
1349,0.93236
609,0.95793
7569,0.43299
1622,0.47686
6541,0.01427
9873,0.95059
305,0.18101
6041,0.38653
5360,0.31979
8445,0.97776
7260,0.32172
4526,0.97956
138,0.31195
168,0.39301
7888,0.90658
4639,0.91245
867,0.21592
9673,0.99987
710,0.37832
4749,0.04834
4716,0.09873
410,0.98441
2155,0.99589
3289,0.26067
7774,0.51125
1200,0.27754
9057,0.178
2261,0.18258
9612,0.27481
4987,0.57733
3605,0.97893
5068,0.95529
4474,0.9774
5831,0.90861
4729,0.42889
10060,0.14428
6895,0.26706
3791,0.97743
7910,0.33249
4209,0.01233
4984,0.99451
1773,0.24454
2101,0.05556
7251,0.03623
2887,0.35168
875,0.64664
8185,0.37072
9688,0.9948
5342,0.3382
6802,0.31429
3077,0.7186
712,0.22737
3026,0.48749
2640,0.30493
4872,0.38684
3334,0.95533
2431,0.28855
9218,0.20668
7417,0.91125
3563,0.95542
1006,0.11671
8940,0.1022
7703,0.14079
2686,0.38657
8159,0.99534
37,0.25699
65,0.1572
1910,0.44052
2202,0.96808
9717,0.9678
2388,0.92153
2365,0.13772
5072,0.59348
4614,0.24133
6955,0.38016
4094,0.29192
3319,0.99122
1456,0.99416
5381,0.99205
4479,0.88441
4766,0.28397
6076,0.96696
8064,0.3942
3416,0.99927
4892,0.24088
9942,0.99328
9215,0.43419
4506,0.87115
9275,0.40695
1306,0.99825
6828,0.98685
8368,0.71088
7205,0.22344
360,0.97874
3386,0.14692
3835,0.48216
1305,0.16292
7963,0.15846
2073,0.76518
4230,0.28946
9012,0.03885
2723,0.96887
6788,0.98561
7945,0.12607
4868,0.98488
6597,0.40156
7323,0.07851
6229,0.24085
3427,0.53356
7727,0.16908
4707,0.99511
2547,0.96844
4523,0.9583
9648,0.18243
1084,0.13812
3327,0.93313
5591,0.28156
186,0.04056
2938,0.33265
9912,0.99335
6047,0.32521
2417,0.83871
10533,0.16318
1137,0.51102
1533,0.98039
9233,0.47745
43,0.04566
8986,0.27773
6000,0.99727
480,0.56836
2457,0.4846
5362,0.16656
7722,0.55616
7940,0.90986
6104,0.97157
8853,0.04754
5813,0.94732
4769,0.24043
2544,0.79557
6379,0.17565
5262,0.05741
9885,0.31407
10081,0.34487
1315,0.43365
3388,0.06599
3473,0.97705
2117,0.37325
9411,0.48357
9379,0.99163
4236,0.26989
2049,0.03445
4786,0.20644
1604,0.36121
7659,0.07695
8152,0.10593
5417,0.18658
160,0.3257
6826,0.98899
1815,0.61313
3647,0.735
5605,0.32056
3526,0.99312
3854,0.99718
1053,0.10275
2411,0.51096
6015,0.34238
2089,0.98554
7745,0.98288
6816,0.63626
3934,0.48958
6547,0.48872
3758,0.95567
7158,0.99927
1584,9.90E-04
2982,0.95753
7679,0.98824
5286,0.99972
3776,0.74367
1235,0.53819
6294,0.58509
1012,0.93331
10318,0.10883
7134,0.26207
5180,0.87171
2108,0.60276
3639,0.39219
6729,0.12722
2472,0.3084
10235,0.556
190,0.96845
4713,0.95833
6827,0.26183
6108,0.9688
1114,0.99776
4848,0.24286
606,0.29922
1573,0.87806
8546,0.19173
5193,0.17226
2936,0.28428
5104,0.65992
6712,0.6658
3055,0.22403
74,0.95232
7726,0.66985
9183,0.57166
162,0.01861
7288,0.53122
8657,0.99974
1295,0.02832
8207,0.53339
4433,0.99105
590,0.98187
10549,0.47917
7749,0.73042
405,0.99845
10267,0.97515
7133,0.2738
7584,0.75069
6616,0.97085
1719,0.48983
9761,0.76855
5859,0.28614
5662,0.04834
1736,0.40858
9333,0.49333
1102,0.1347
2790,0.67211
6598,0.96682
7995,0.95794
4452,0.98249
159,0.30798
511,0.88351
7006,0.91359
1123,0.9201
6073,0.47007
7094,0.34743
10008,0.63364
7573,0.28899
679,0.28081
6809,0.35339
1108,0.06483
380,0.25477
204,0.17764
7075,0.19015
2550,0.8269
9785,0.28283
5036,0.73715
3129,0.31557
6495,0.93883
880,0.17232
2360,0.19234
7839,0.14615
350,0.47546
9151,0.92767
6650,0.52968
7208,0.66907
5840,0.31911
5997,0.16329
2103,0.93206
713,0.82071
7771,0.24201
10255,0.27415
3944,1
4250,0.42321
2833,0.18909
3052,0.15913
7855,0.99392
4152,0.32779
4445,0.96903
10036,0.3446
9727,0.33479
2234,0.08826
9632,0.92284
626,0.51538
1644,0.13449
4859,0.98937
3987,0.20582
5884,0.99783
4112,0.9415
10392,0.08871
2962,0.11541
21,0.59545
8524,0.99823
2543,0.26403
663,0.1816
2748,0.90475
3451,0.30696
964,0.98447
10560,0.98639
2428,0.40926
4520,0.0911
7660,0.89593
6583,0.70467
10390,0.36586
688,0.11917
7957,0.96082
3356,0.71717
1766,0.11365
9128,0.29726
2340,0.24777
9421,0.26977
7712,0.66838
8200,0.02603
8762,0.15547
6446,0.3577
5194,0.23982
960,0.38384
779,0.997
3584,0.64697
3011,0.42817
2769,0.48866
1392,0.59619
7254,0.98374
9084,0.26586
9622,0.26226
3665,0.1696
1609,0.28653
6130,0.10771
10155,0.12435
7826,0.99552
8300,0.33412
5038,0.47602
7582,0.72532
9561,5.00E-04
7430,0.70011
5045,0.8778
10421,0.15928
5675,0.18124
4687,0.32104
4944,0.93994
5105,0.98638
148,0.24514
6371,0.04569
8108,0.35994
4354,0.15684
6077,0.94549
4292,0.38908
10068,0.69201
5821,0.45906
1042,0.96444
7715,0.26077
9703,0.32767
2761,0.22735
7002,0.15624
7313,0.56349
9050,0.31446
5518,0.05042
10556,0.96425
1078,0.03999
9699,0.43866
10445,0.93128
8748,0.88466
2960,0.15604
4317,0.28667
939,0.37301
8423,0.10411
5196,0.08575
8151,0.36025
7199,0.97099
1574,0.29321
8566,0.35686
7389,0.25519
1177,0.47095
10282,0.56515
10098,0.80116
4512,0.25892
4055,0.99806
8431,0.86363
4532,0.52177
10450,0.41498
5754,0.9721
1882,0.9844
1563,0.98027
4871,0.98041
8440,0.3641
3253,0.25076
8270,0.48034
4610,0.14162
9619,0.232
8786,0.08821
2889,0.92637
9781,0.46457
5061,0.67678
7059,0.99096
2064,0.99812
1587,0.49477
1934,0.96984
5516,0.11563
9853,0.16002
7867,0.18019
1556,0.70817
5495,0.23596
4274,0.46235
8177,0.32479
9491,0.99929
9813,0.3064
2205,0.30578
2710,0.57813
2992,0.40008
7998,0.2169
6428,0.83839
6638,0.33602
3035,0.75713
1578,0.45344
1324,0.50318
2316,0.98815
9326,0.39917
7359,0.98744
7741,0.60823
5143,0.21839
8196,0.78364
630,0.1213
8481,0.93886
8497,0.16896
5409,0.95569
5749,0.22842
8219,0.82357
9571,0.94261
4886,0.97254
5367,0.34709
1185,0.30595
8291,0.34161
1590,0.30674
7698,0.12594
51,0.50819
8784,0.23896
3928,0.34021
5987,0.02494
7008,0.98532
7482,0.99019
9374,0.24772
1296,0.83244
10289,0.981
2986,0.31049
4651,0.30448
8594,0.37875
7469,0.71141
2871,0.05876
1903,0.99509
8571,0.96906
4832,0.9978
1242,0.95254
7115,0.43246
3599,0.31927
2065,0.30584
4529,0.35335
763,0.33496
6698,0.98703
2002,0.99877
2020,0.86137
5229,0.28469
8243,0.59845
6936,0.70943
9360,1
4360,0.34125
7951,0.20271
6701,0.79622
7574,0.95707
2426,0.20379
1681,0.99295
7135,0.24419
3688,0.08336
3872,0.48119
558,0.00359
2228,0.84053
8170,0.25079
7171,0.23399
7756,0.07918
3609,0.30839
3985,0.24116
1139,0.42069
3453,0.78069
7583,0.3701
9788,0.96601
10175,0.65104
6059,0.16507
104,0.2921
10168,0.25814
8902,0.99568
5343,0.99924
4239,0.25648
6767,0.51812
6269,0.16134
6682,0.27933
9558,0.17893
2416,0.47111
6592,0.19889
6196,0.30344
2751,0.9975
3412,0.87442
8302,0.94554
1120,0.7044
8005,0.0387
6637,0.41318
6440,0.34532
6679,0.99318
8039,0.96991
5357,0.97186
8844,0.96981
2964,0.31356
6040,0.17453
7259,0.99482
8974,0.76522
7439,0.11958
1045,0.0714
7706,0.09338
9724,0.29396
3698,0.1481
7339,0.99152
1749,0.22466
7257,0.12435
2963,0.99889
7775,0.31357
10501,0.34122
4258,0.99601
7908,0.99375
722,0.39064
6519,0.56851
6916,0.29787
4456,0.99994
2731,0.3247
917,0.99312
4107,0.34923
7894,0.57242
2540,0.12284
8455,0.95519
10406,0.98645
8909,0.19739
5489,0.40636
306,1
3894,0.33682
2735,0.17081
4939,0.49918
1551,0.64562
777,0.57845
2160,0.99644
8599,0.97328
2727,0.14998
6362,0.45949
1417,0.98022
10343,0.19099
4866,0.98193
2682,0.1133
9856,0.29025
4498,0.51319
7450,0.26099
6899,0.33346
5649,0.98365
6086,0.13174
1618,0.35369
9926,0.10512
2847,0.1031
8099,0.89346
5724,0.60262
3358,0.28007
8136,0.14364
955,0.40256
8819,0.29915
5832,0.99322
10413,0.99902
6548,0.0498
8407,0.40737
10090,0.20033
8564,0.2245
808,0.95707
5303,0.09784
8913,0.90425
9425,0.97982
9543,0.99481
1219,0.8816
9575,0.966
4019,0.84816
6223,0.97261
9588,0.29487
4739,0.38906
10492,0.94901
2017,0.47762
5524,0.99638
7449,0.98294
5734,0.05951
5456,0.42722
797,0.93799
5525,0.19378
8265,0.15518
1981,0.99686
8977,0.93318
6241,0.99919
6021,0.66764
7720,0.15026
8632,0.05898
6705,0.12927
2476,0.78191
3510,0.41573
8887,0.67883
10115,0.25053
9061,0.14622
5570,0.32806
2763,0.76661
1437,0.76815
3448,0.30531
